fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2013,Maryland,Multifamily Housing,16343783,108,7368253
2013,Maryland,Single Family Housing,543604675,2636,29803476
2013,Maryland,Water and Environmental,21358000,19,11095000
2013,Massachusetts,Business Programs,1002389,39,90856
2013,Massachusetts,Community Facilities,19583535,16,0
2013,Massachusetts,Multifamily Housing,10060410,60,393048
2013,Massachusetts,Single Family Housing,272914084,1388,1142732
2013,Massachusetts,Water and Environmental,6266595,15,0
2013,Michigan,Business Programs,13310630,133,577097
2013,Michigan,Community Facilities,31142939,86,993228
2013,Michigan,Electric Programs,91708918,2,0
2013,Michigan,Multifamily Housing,29913797,461,6867846
2013,Michigan,Single Family Housing,785181827,7613,38372276
2013,Michigan,Water and Environmental,63333600,41,6828000
2013,Minnesota,Business Programs,29281478,142,1977661
2013,Minnesota,Community Facilities,51070252,35,47535465
2013,Minnesota,Electric Programs,143238960,13,0
2013,Minnesota,Multifamily Housing,16059556,380,2364655
2013,Minnesota,Single Family Housing,583942201,4724,36936618
2013,Minnesota,Water and Environmental,33177184,32,2220000
2013,Mississippi,Business Programs,19693331,56,5698375
2013,Mississippi,Community Facilities,52701237,49,50833680
2013,Mississippi,Electric Programs,181751000,1,0
2013,Mississippi,Multifamily Housing,33182159,284,23467138
2013,Mississippi,Single Family Housing,423977991,3636,79768947
2013,Mississippi,Water and Environmental,10107772,15,6144333
2013,Missouri,Business Programs,26071062,108,11687068
2013,Missouri,Community Facilities,35655263,71,9835837
2013,Missouri,Electric Programs,139734000,5,0
2013,Missouri,Multifamily Housing,16636017,990,4303667
2013,Missouri,Single Family Housing,668074081,6357,80251867
2013,Missouri,Water and Environmental,41784235,55,8551898
2013,Montana,Business Programs,3758511,21,1202431
2013,Montana,Community Facilities,7555368,17,753294
2013,Montana,Multifamily Housing,6121817,150,616140
2013,Montana,Single Family Housing,256953615,1637,10567104
2013,Montana,Telecommunications Programs,20829925,1,0
